area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,"Shukrabad, Dhanmondi, Dhaka",2 BHK,N/A,1075,2,1,46.76
Super built-up  Area,Ready To Move,"Badda, Dhaka",3 BHK,N/A,1752.12,3,2,133
Plot  Area,Ready To Move,"Pirerbag, Mirpur, Dhaka",8 Bedroom,N/A,6000,8,0,220
Super built-up  Area,Ready To Move,"Block B, Section 12, Mirpur, Dhaka",3 BHK,N/A,1540,3,3,85
Plot  Area,Ready To Move,"Middle Badda, Badda, Dhaka",4 Bedroom,N/A,600,4,3,125
Super built-up  Area,Ready To Move,"Popular Housing, Borobag, Section 2, Mirpur, Dhaka",1 BHK,N/A,665,1,2,32
Super built-up  Area,Ready To Move,"East Shewrapara, Mirpur, Dhaka",3 BHK,N/A,1665,3,,110
Super built-up  Area,18-Mar,"Block C, Section 10, Mirpur, Dhaka",2 BHK,N/A,1145,2,1,54
Super built-up  Area,18-Aug,"Block C, Section 10, Mirpur, Dhaka",2 BHK,N/A,1185,2,2,41
Plot  Area,Ready To Move,"Block A, Section 10, Mirpur, Dhaka",3 Bedroom,N/A,1200,3,1,190
Built-up  Area,Ready To Move,"Matikata, Cantonment, Dhaka",3 BHK,N/A,1693,3,2,125
Super built-up  Area,Ready To Move,"Block D, Banasree, Dhaka",3 BHK,N/A,2456,3,3,220
Super built-up  Area,Ready To Move,"Sector 14, Uttara, Dhaka",3 BHK,N/A,2559,3,2,403
Super built-up  Area,Ready To Move,"Cantonment, Dhaka",2 BHK,N/A,1155,2,1,40.6
Super built-up  Area,17-Oct,"Block Cha, Section 2, Mirpur, Dhaka",3 BHK,N/A,1610,2,2,64.4
Plot  Area,18-Nov,"Section 10, Mirpur, Dhaka",3 Bedroom,N/A,1200,3,2,56.58
Plot  Area,Ready To Move,"Eskaton, Dhaka",2 Bedroom,N/A,1530,2,1,185
Built-up  Area,Ready To Move,"Tejgaon, Dhaka",3 BHK,N/A,1709,3,1,80
Plot  Area,Ready To Move,"Joar Sahara, Dhaka",4 Bedroom,N/A,600,4,0,60
Plot  Area,Ready To Move,"Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",8 Bedroom,N/A,2700,8,,290
Plot  Area,Ready To Move,"Eskaton, Dhaka",1 Bedroom,N/A,840,1,1,150
Super built-up  Area,Ready To Move,"Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",3 BHK,N/A,1400,2,1,50
Super built-up  Area,Ready To Move,"Joar Sahara, Dhaka",2 BHK,N/A,1200,2,1,42
Super built-up  Area,Ready To Move,"Joar Sahara, Dhaka",3 BHK,N/A,1439,3,1,57.23
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",2 BHK,N/A,1375,2,2,72
Plot  Area,Ready To Move,"Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",5 Bedroom,N/A,2990,5,3,416
Super built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",3 BHK,N/A,1200,2,1,75
Built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",2 BHK,N/A,1315,2,3,75
Plot  Area,18-Mar,"Kafrul, Dhaka",2 Bedroom,N/A,1500,2,0,40
Built-up  Area,Ready To Move,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",6 Bedroom,N/A,3600,6,1,200
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",2 BHK,N/A,1178,2,3,82
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",3 BHK,N/A,1430,3,2,59
Super built-up  Area,Ready To Move,"Senpara Parbata, Section 10, Mirpur, Dhaka",3 BHK,N/A,1400,2,2,65.8
Super built-up  Area,Ready To Move,"Block TA, Section 6, Mirpur, Dhaka",2 BHK,N/A,1093,2,2,72
Super built-up  Area,Ready To Move,"Senpara Parbata, Section 10, Mirpur, Dhaka",2 BHK,N/A,1200,2,1,45
Plot  Area,Ready To Move,"New Eskaton, Eskaton, Dhaka",5 Bedroom,N/A,5000,6,1,360
Built-up  Area,15-Dec,"Block J, Baridhara, Dhaka",3 BHK,N/A,1200,2,0,130
Built-up  Area,18-Apr,"Section 10, Mirpur, Dhaka",3 BHK,N/A,2210,3,2,156
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",2 BHK,N/A,1150,2,2,70
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",3 BHK,N/A,1435,2,1,60
Plot  Area,Ready To Move,"Block C, Bashundhara R-A, Dhaka",4 Bedroom,N/A,600,3,,100
Super built-up  Area,20-Dec,"West Shewrapara, Mirpur, Dhaka",2 BHK,N/A,1173,2,1,78.2
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",2 BHK,N/A,1140,2,1,39
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",3 BHK,N/A,1717,3,3,120
Super built-up  Area,Ready To Move,"1st Colony, Mirpur, Dhaka",2 BHK,N/A,1325,2,,65
Built-up  Area,Ready To Move,"Block C, Banasree, Dhaka",3 BHK,N/A,1370,3,2,67
Super built-up  Area,21-Aug,"Kawlar, Dakshin Khan, Dhaka",2 BHK,N/A,1025,2,1,90
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",3 BHK,N/A,1409,2,3,62
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",2 BHK,N/A,1200,2,1,52
Super built-up  Area,Ready To Move,"Janata Housing, Shah Ali Bag, Section 1, Mirpur, Dhaka",2 BHK,N/A,1200,2,1,53.5
Super built-up  Area,18-Feb,"Block C, Section 10, Mirpur, Dhaka",3 BHK,N/A,1740,4,3,130
Super built-up  Area,19-Mar,"Mirpur, Dhaka",2 BHK,N/A,1232,2,1,88
Plot  Area,18-Nov,"Block K, Bashundhara R-A, Dhaka",2 Bedroom,N/A,1200,2,1,36
Super built-up  Area,Ready To Move,"Moddo Para, Khilkhet, Dhaka",4 BHK,N/A,5924,4,3,625
Super built-up  Area,Ready To Move,"Vhatara Road, Natun Bazar, Badda, Dhaka",2 BHK,N/A,1250,2,1,50
Built-up  Area,Ready To Move,"Mohammadi Housing LTD., Mohammadpur, Dhaka",2 BHK,N/A,1475,2,2,171
Super built-up  Area,Ready To Move,"Block H, Section 2, Mirpur, Dhaka",4 BHK,N/A,2100,4,2,85
Super built-up  Area,Ready To Move,"Mirpur, Dhaka",1 BHK,N/A,552,1,1,23.5
Super built-up  Area,Ready To Move,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",3 BHK,N/A,1065,2,2,42.59
Plot  Area,17-Aug,"Maghbazar, Dhaka",3 Bedroom,N/A,1000,3,1,130
Plot  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",2 Bedroom,N/A,1225,2,0,65
Built-up  Area,Ready To Move,"Block D, Section 1, Mirpur, Dhaka",1 BHK,N/A,650,1,0,16
Super built-up  Area,Ready To Move,"Middle Badda, Badda, Dhaka",2 BHK,N/A,1067,2,2,52
Super built-up  Area,Ready To Move,"East Bashabo, Bashabo, Dhaka",3 BHK,N/A,1364,2,2,56
Super built-up  Area,Ready To Move,"Block D, Banasree, Dhaka",3 BHK,N/A,1750,3,3,75
Super built-up  Area,Ready To Move,"Cantonment, Dhaka",2 BHK,N/A,1240,2,1,71
Plot  Area,Ready To Move,"Kakrail, Dhaka",2 Bedroom,N/A,1200,2,0,75
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",3 BHK,N/A,1540,3,,75
Super built-up  Area,Ready To Move,"Block C, Dhaka Uddan, Mohammadpur, Dhaka",3 BHK,N/A,1504,2,2,102
Super built-up  Area,Ready To Move,"Middle Badda, Badda, Dhaka",2 BHK,N/A,1116,2,1,49.8
Super built-up  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",3 BHK,N/A,2365,4,2,175
Built-up  Area,Ready To Move,"Tilpapara, Khilgaon, Dhaka",2 BHK,N/A,1308,2,2,37
Built-up  Area,Ready To Move,"Lalmatia, Dhaka",2 BHK,N/A,864,2,0,45
Plot  Area,Ready To Move,"Lalmatia, Dhaka",5 Bedroom,N/A,1200,5,1,139
Super built-up  Area,Ready To Move,"Block A, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",3 BHK,N/A,1069,2,,38
Super built-up  Area,Ready To Move,"Block A, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",2 BHK,N/A,1333,2,1,100
Super built-up  Area,Ready To Move,"Pirerbag, Mirpur, Dhaka",4 BHK,N/A,1800,4,1,145
Plot  Area,Ready To Move,"Vashantek, Cantonment, Dhaka",4 Bedroom,N/A,6136,4,,550
Super built-up  Area,Ready To Move,"East Rampura, Rampura, Dhaka",3 BHK,N/A,1698,3,2,107
Super built-up  Area,18-Jun,"East Rampura, Rampura, Dhaka",3 BHK,N/A,1275,2,2,43.6
Super built-up  Area,Ready To Move,"Janata Housing, Shah Ali Bag, Section 1, Mirpur, Dhaka",2 BHK,N/A,1060,2,1,48
Super built-up  Area,Ready To Move,"Shahjadpur, Badda, Dhaka",2 BHK,N/A,1160,2,1,49
Super built-up  Area,Ready To Move,"Shahjadpur, Badda, Dhaka",3 BHK,N/A,1484,2,,65
Plot  Area,Ready To Move,"Block C, Chandrima Model Town, Mohammadpur, Dhaka",3 Bedroom,N/A,675,3,1,70
Plot  Area,Ready To Move,"Block B, Chandrima Model Town, Mohammadpur, Dhaka",3 Bedroom,N/A,1200,5,,325
Super built-up  Area,Ready To Move,"Block A, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",2 BHK,N/A,1310,2,1,66
Plot  Area,Ready To Move,"New Market, Dhaka",6 Bedroom,N/A,1806,6,1,370
Super built-up  Area,Ready To Move,"Vashantek, Cantonment, Dhaka",4 BHK,N/A,3000,4,,240
Super built-up  Area,Ready To Move,"Talertek, Khilkhet, Dhaka",3 BHK,N/A,2145,3,2,165
Super built-up  Area,Ready To Move,"Vashantek, Cantonment, Dhaka",3 BHK,N/A,1693,3,1,125
Super built-up  Area,Ready To Move,"Block C, Dhaka Uddan, Mohammadpur, Dhaka",3 BHK,N/A,1230,3,3,60
Plot  Area,18-Jan,"Block C, Dhaka Uddan, Mohammadpur, Dhaka",3 Bedroom,N/A,1200,3,1,145
Built-up  Area,18-Aug,"Vashantek, Cantonment, Dhaka",3 BHK,N/A,1310,2,1,37.83
Super built-up  Area,Ready To Move,"Sector 14, Uttara, Dhaka",2 BHK,N/A,1150,2,1,60
Super built-up  Area,18-Apr,"Lake View Society, South Pirerbag, Pirerbag, Mirpur, Dhaka",3 BHK,N/A,1385,2,2,66.5
Super built-up  Area,Ready To Move,"Kallyanpur, Mirpur, Dhaka",2 BHK,N/A,1066,2,2,52.5
Super built-up  Area,19-Dec,"Block J, Bashundhara R-A, Dhaka",3 BHK,N/A,2293,3,2,80.26
Plot  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",3 Bedroom,N/A,720,3,1,81
Carpet  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",3 BHK,N/A,1625,3,3,92
Super built-up  Area,Ready To Move,"Manikdi, Cantonment, Dhaka",2 BHK,N/A,1246,2,1,67.4
Plot  Area,Ready To Move,"Block E, Niketan, Dhaka",4 Bedroom,N/A,2100,6,1,252
Super built-up  Area,Ready To Move,"Nayatola, Maghbazar, Dhaka",4 BHK,N/A,2400,4,3,250
Plot  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",6 Bedroom,N/A,3900,6,,195
Super built-up  Area,Ready To Move,"Nayatola, Maghbazar, Dhaka",2 BHK,N/A,1000,2,1,70.65
Super built-up  Area,Ready To Move,"Banani DOHS, Dhaka",2 BHK,N/A,907,2,2,38
Plot  Area,Ready To Move,"West Agargaon, Agargaon, Dhaka",4 Bedroom,N/A,3500,4,0,138
Super built-up  Area,Ready To Move,"Pirerbag, Mirpur, Dhaka",3 BHK,N/A,1395,2,3,79
Super built-up  Area,Ready To Move,"Pirerbag, Mirpur, Dhaka",2 BHK,N/A,1180,2,2,50
Plot  Area,Ready To Move,"South Monipur, Mirpur, Dhaka",5 Bedroom,N/A,1903,6,2,140
Super built-up  Area,18-Mar,"South Monipur, Mirpur, Dhaka",2 BHK,N/A,1175,2,1,47
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",2 BHK,N/A,1272,2,2,51.5
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",3 BHK,N/A,1490,2,1,92
Super built-up  Area,Ready To Move,"Block C, Section 10, Mirpur, Dhaka",2 BHK,N/A,1144,2,2,67
Plot  Area,17-Aug,"West Shewrapara, Mirpur, Dhaka",4 Bedroom,N/A,2400,5,,140
Super built-up  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",2 BHK,N/A,1143,2,1,53
Plot  Area,Ready To Move,"West Rampura, Rampura, Dhaka",3 Bedroom,N/A,2500,3,2,190
Super built-up  Area,18-Dec,"Joar Sahara, Dhaka",2 BHK,N/A,1216,2,1,75
Super built-up  Area,17-Jun,"Block F, aziz Moholla, Mohammadpur, Dhaka",2 BHK,N/A,1044,2,1,60
Super built-up  Area,Ready To Move,"Sector 2, Block F, Aftab Nagar, Dhaka",2 BHK,N/A,1352,3,1,93
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",3 BHK,N/A,1552,3,3,75
Built-up  Area,Ready To Move,"Block D, Banasree, Dhaka",3 BHK,N/A,1785,3,2,120
Super built-up  Area,Ready To Move,"Nayatola, Maghbazar, Dhaka",2 BHK,N/A,810,2,2,34.5
Super built-up  Area,18-May,"Janata Housing, Sher- E- Banglanagar, West Agargaon, Agargaon, Dhaka",3 BHK,N/A,1650,3,2,51.98
Super built-up  Area,Ready To Move,"Pirerbag, Mirpur, Dhaka",3 BHK,N/A,1595,3,2,70.39
Super built-up  Area,Ready To Move,"Vashantek, Cantonment, Dhaka",2 BHK,N/A,1060,2,1,35
Super built-up  Area,Ready To Move,"Rupnagar R/A, Mirpur, Dhaka",3 BHK,N/A,1410,2,3,65
Super built-up  Area,Ready To Move,"Rupnagar R/A, Mirpur, Dhaka",3 BHK,N/A,1523,2,2,56
Super built-up  Area,19-Jan,"Kallyanpur, Mirpur, Dhaka",3 BHK,N/A,1591,3,1,122
Super built-up  Area,Ready To Move,"Janata Housing, Shah Ali Bag, Section 1, Mirpur, Dhaka",3 BHK,N/A,1640,3,3,84
Built-up  Area,Ready To Move,"Block C, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",1 BHK,N/A,450,1,0,16
Super built-up  Area,Ready To Move,"Block C, Chandrima Model Town, Mohammadpur, Dhaka",3 BHK,N/A,1305,2,2,60
Super built-up  Area,Ready To Move,"Block A, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",3 BHK,N/A,1590,3,1,54
Built-up  Area,Ready To Move,"Gawair, Dakshin Khan, Dhaka",2 BHK,N/A,1240,2,3,45
Super built-up  Area,Ready To Move,"North Azampur, Dakshin Khan, Dhaka",2 BHK,N/A,1200,2,2,54
Super built-up  Area,Ready To Move,"Malibagh, Dhaka",2 BHK,N/A,1100,2,1,41.16
Super built-up  Area,Ready To Move,"Sector 12, Uttara, Dhaka",2 BHK,N/A,1180,2,1,128
Super built-up  Area,Ready To Move,"Pirerbag, Mirpur, Dhaka",2 BHK,N/A,1115,2,1,50
Super built-up  Area,Ready To Move,"Block A, Nobodoy Housing Society, Mohammadpur, Dhaka",2 BHK,N/A,845,2,1,33
Super built-up  Area,Ready To Move,"Block A, Nobodoy Housing Society, Mohammadpur, Dhaka",3 BHK,N/A,1567.2,2,0,190
Super built-up  Area,Ready To Move,"Janata Housing, Shah Ali Bag, Section 1, Mirpur, Dhaka",3 BHK,N/A,1310,2,2,45
Plot  Area,Ready To Move,"Janata Housing, Shah Ali Bag, Section 1, Mirpur, Dhaka",1 Bedroom,N/A,26136,1,0,150
Built-up  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",2 BHK,N/A,959,2,1,42.5
Built-up  Area,Ready To Move,"North Kamlapur, Kamlapur, Motijheel, Dhaka",4 BHK,N/A,1200,4,1,140
Super built-up  Area,Ready To Move,"Talertek, Khilkhet, Dhaka",2 BHK,N/A,883,2,1,37
Super built-up  Area,Ready To Move,"Nurer Chala, Badda, Dhaka",2 BHK,N/A,1050,2,2,55.5
Super built-up  Area,21-Mar,"Block K, Bashundhara R-A, Dhaka",2 BHK,N/A,1390,2,2,70.21
Built-up  Area,Ready To Move,"Kadamtala, Bashabo, Dhaka",2 BHK,N/A,132Sq. Yards,2,3,46
Super built-up  Area,Ready To Move,"Mohammadi Housing LTD., Mohammadpur, Dhaka",3 BHK,N/A,1280,2,2,69
Plot  Area,Ready To Move,"Avenue 2, Mirpur DOHS, Mirpur, Dhaka",7 Bedroom,N/A,1280,5,3,150
Super built-up  Area,Ready To Move,"Kawlar, Dakshin Khan, Dhaka",3 BHK,N/A,1614,3,2,95
Super built-up  Area,Ready To Move,"Mirpur, Dhaka",2 BHK,N/A,1000,2,0,58
Super built-up  Area,18-Apr,"PC Culture Housing, Mohammadpur, Dhaka",2 BHK,N/A,1196,2,2,57.9
Super built-up  Area,Ready To Move,"Maghbazar, Dhaka",3 BHK,N/A,1220,3,2,57
Super built-up  Area,19-Apr,"West Rampura, Rampura, Dhaka",2 BHK,N/A,950,2,1,31.95
Super built-up  Area,Ready To Move,"Bashabo, Dhaka",9 BHK,N/A,2400,8,,325
Super built-up  Area,Ready To Move,"Ashkona, Dakshin Khan, Dhaka",2 BHK,N/A,1141,2,1,55
Super built-up  Area,Ready To Move,"Block J, Baridhara, Dhaka",2 BHK,N/A,1200,2,2,51
Super built-up  Area,Ready To Move,"Sector 12, Uttara, Dhaka",3 BHK,N/A,1380,2,2,55
Super built-up  Area,Ready To Move,"Tejgaon, Dhaka",2 BHK,N/A,855,2,1,32
Super built-up  Area,18-Sep,"Kawlar, Dakshin Khan, Dhaka",1 BHK,N/A,645,1,1,16.45
Super built-up  Area,Ready To Move,"Wari, Sutrapur, Dhaka",2 BHK,N/A,922,2,1,36
Built-up  Area,Ready To Move,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",2 BHK,N/A,1200,2,2,43.2
Super built-up  Area,Ready To Move,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",3 BHK,N/A,1240,2,2,65
Super built-up  Area,18-Aug,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",2 BHK,N/A,1070,2,2,42
Super built-up  Area,Ready To Move,"Badda, Dhaka",2 BHK,N/A,1293,2,2,75
Built-up  Area,Ready To Move,"Sector 12, Uttara, Dhaka",3 BHK,N/A,1380,2,1,50
Super built-up  Area,Ready To Move,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",3 BHK,N/A,1599,3,2,80
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,967,2,2,41.1
Super built-up  Area,Ready To Move,"Joar Sahara, Dhaka",3 BHK,N/A,1885,3,3,90
Built-up  Area,Ready To Move,"Kafrul, Dhaka",2 BHK,N/A,860,2,2,65.5
Plot  Area,Ready To Move,"Block B, Section 12, Mirpur, Dhaka",1 Bedroom,N/A,1075,1,0,19.5
Super built-up  Area,Ready To Move,"Sector 2, Block F, Aftab Nagar, Dhaka",2 BHK,N/A,1050,2,1,63.5
Super built-up  Area,Ready To Move,"Gulbag, Malibagh, Dhaka",3 BHK,N/A,1595,3,2,88
Super built-up  Area,Ready To Move,"Badda, Dhaka",2 BHK,N/A,1350,2,2,102
Built-up  Area,Ready To Move,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",2 BHK,N/A,1204,2,2,45
Super built-up  Area,Ready To Move,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",4 BHK,N/A,2990,4,,240
Super built-up  Area,Ready To Move,"Kallyanpur, Mirpur, Dhaka",2 BHK,N/A,1035,2,2,49
Super built-up  Area,18-Dec,"Pallabi, Mirpur, Dhaka",2 BHK,N/A,1000,2,1,29.95
Super built-up  Area,Ready To Move,"Hatirpool, Dhaka",3 BHK,N/A,1457,3,3,85
Super built-up  Area,Ready To Move,"Hatirpool, Dhaka",2 BHK,N/A,1194,2,2,47
Super built-up  Area,21-Dec,"Dhanmondi, Dhaka",2 BHK,N/A,1100,2,1,66
Super built-up  Area,18-Mar,"Block K, Bashundhara R-A, Dhaka",3 BHK,N/A,1655,3,3,120
Super built-up  Area,Ready To Move,"Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",3 BHK,N/A,1691.2,3,1,115
Super built-up  Area,18-Jun,"Shiddheswari, Dhaka",2 BHK,N/A,1215,2,1,46.1
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",2 BHK,N/A,1010 - 1300,2,0,50.125
Super built-up  Area,22-Jun,"South Monipur, Mirpur, Dhaka",3 BHK,N/A,1639,3,2,129
Super built-up  Area,18-Apr,"PC Culture Housing, Mohammadpur, Dhaka",3 BHK,N/A,1685,3,1,135
Built-up  Area,Ready To Move,"Mohammadi Housing LTD., Mohammadpur, Dhaka",5 Bedroom,N/A,1008,4,2,180
Super built-up  Area,Ready To Move,"Shyamoli, Dhaka",2 BHK,N/A,1100,2,3,38
Super built-up  Area,19-Sep,"Block D, Section 15, Mirpur, Dhaka",3 BHK,N/A,2122,3,2,125
Super built-up  Area,Ready To Move,"Chalabon, Dakshin Khan, Dhaka",2 BHK,N/A,1050,2,2,47
Built-up  Area,Ready To Move,"Chalabon, Dakshin Khan, Dhaka",2 BHK,N/A,1230,2,2,45
Super built-up  Area,Ready To Move,"Tajmahal Road, Mohammadpur, Dhaka",3 BHK,N/A,1240,3,2,60
Built-up  Area,16-Oct,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",3 BHK,N/A,1252,2,3,65
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",3 BHK,N/A,1374,2,2,88
Super built-up  Area,18-Jul,"Sipahibagh, North Goran, Goran, Khilgaon, Dhaka",1 BHK,N/A,500,1,1,30
Plot  Area,Ready To Move,"Block C, Section 12, Mirpur, Dhaka",8 Bedroom,N/A,1200,8,2,225
Super built-up  Area,18-Dec,"Shahjahanpur, Dhaka",3 BHK,N/A,1355,3,2,83.87
Super built-up  Area,Ready To Move,"Block D, Section 15, Mirpur, Dhaka",2 BHK,N/A,1040,2,3,45
Super built-up  Area,Ready To Move,"Mirpur, Dhaka",2 BHK,N/A,1350,2,2,68
Super built-up  Area,18-Apr,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",4 BHK,N/A,4003,6,3,300
Super built-up  Area,Ready To Move,"Shahjahanpur, Dhaka",3 BHK,N/A,2400,3,,135
Super built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",3 BHK,N/A,1560,3,1,90
Super built-up  Area,17-Jul,"Block A, Section 12, Mirpur, Dhaka",2 BHK,N/A,1151,2,1,43.16
Super built-up  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",3 BHK,N/A,1360,2,2,47.59
Super built-up  Area,Ready To Move,"Boatghat, Namapara, Khilkhet, Dhaka",2 BHK,N/A,1250,2,2,60
Super built-up  Area,19-Dec,"Shahjahanpur, Dhaka",3 BHK,N/A,1110,2,2,29.97
Built-up  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",2 BHK,N/A,1015,2,2,50
Super built-up  Area,Ready To Move,"Sector 10, Uttara, Dhaka",3 BHK,N/A,1351,2,2,78
Super built-up  Area,Ready To Move,"Shyamoli, Dhaka",2 BHK,N/A,960,2,2,50
Super built-up  Area,18-May,"Mohammadpur, Dhaka",2 BHK,N/A,1110,2,2,52
Built-up  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",3 BHK,N/A,1680,3,2,72
Plot  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",3 Bedroom,N/A,2400,3,1,180
Plot  Area,18-Apr,"Dhanmondi, Dhaka",4 Bedroom,N/A,11000,5,3,2000
Built-up  Area,18-Mar,"Mohammadpur, Dhaka",3 BHK,N/A,1350,3,2,48.6
Super built-up  Area,Ready To Move,"Rupnagar R/A, Mirpur, Dhaka",2 BHK,N/A,1254,2,2,47
Super built-up  Area,Ready To Move,"Shahjahanpur, Dhaka",3 BHK,N/A,1255,3,2,115
Super built-up  Area,Ready To Move,"Block B, Banasree, Dhaka",2 BHK,N/A,1051,2,3,61
Plot  Area,Ready To Move,"Shyamoli, Dhaka",3 Bedroom,N/A,1200,3,1,205
Built-up  Area,Ready To Move,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",2 BHK,N/A,1099,2,2,65
Super built-up  Area,Ready To Move,"Shahjahanpur, Dhaka",3 BHK,N/A,2650,4,3,199
Built-up  Area,18-May,"PC Culture Housing, Mohammadpur, Dhaka",4 Bedroom,N/A,2000,2,1,160
Super built-up  Area,Ready To Move,"Shahjahanpur, Dhaka",2 BHK,N/A,1541,2,2,130
Plot  Area,18-May,"Shahjahanpur, Dhaka",3 Bedroom,N/A,1200,3,2,70
Built-up  Area,Ready To Move,"Middle Badda, Badda, Dhaka",2 BHK,N/A,1125,2,2,45
Super built-up  Area,Ready To Move,"Sector 10, Uttara, Dhaka",3 BHK,N/A,1650,3,2,85
Super built-up  Area,Ready To Move,"Block C, Section 10, Mirpur, Dhaka",1 BHK,N/A,834,1,1,62
Super built-up  Area,Ready To Move,"Sector 10, Uttara, Dhaka",3 BHK,N/A,1320,3,2,60
Plot  Area,Ready To Move,"East Rampura, Rampura, Dhaka",3 Bedroom,N/A,1200,3,1,149
Plot  Area,Ready To Move,"Shyamoli, Dhaka",8 Bedroom,N/A,1000,7,0,160
Super built-up  Area,19-Apr,"Block E, Section 12, Mirpur, Dhaka",3 BHK,N/A,1500,3,2,74
Plot  Area,Ready To Move,"Sector 14, Uttara, Dhaka",4 Bedroom,N/A,4400,5,2,500
Plot  Area,Ready To Move,"Sector 13, Uttara, Dhaka",1 Bedroom,N/A,2Acres,1,0,125
Plot  Area,Ready To Move,"Badda, Dhaka",1 Bedroom,N/A,600,1,0,52
Super built-up  Area,Ready To Move,"Block H, Bashundhara R-A, Dhaka",2 BHK,N/A,1180,2,2,70
Super built-up  Area,Ready To Move,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",2 BHK,N/A,1010,2,1,50
Super built-up  Area,Ready To Move,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",2 BHK,N/A,1070,2,1,38
Super built-up  Area,Ready To Move,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",3 BHK,N/A,1580,3,3,105
Plot  Area,Ready To Move,"East Goran, Goran, Khilgaon, Dhaka",4 Bedroom,N/A,1200,5,,325
Super built-up  Area,Ready To Move,"East Goran, Goran, Khilgaon, Dhaka",3 BHK,N/A,2000,3,,165
Super built-up  Area,Ready To Move,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",3 BHK,N/A,1920,3,2,130
Super built-up  Area,Ready To Move,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",3 BHK,N/A,1200,2,1,76
Built-up  Area,Ready To Move,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",2 BHK,N/A,1040,2,2,45
Super built-up  Area,Ready To Move,"Kawlar, Dakshin Khan, Dhaka",3 BHK,N/A,1430,2,2,90
Super built-up  Area,Ready To Move,"Kawlar, Dakshin Khan, Dhaka",3 BHK,N/A,1215,2,2,52.85
Super built-up  Area,Ready To Move,"Kawlar, Dakshin Khan, Dhaka",1 BHK,N/A,650,1,1,70
Super built-up  Area,Ready To Move,"Kawlar, Dakshin Khan, Dhaka",3 BHK,N/A,1564,3,1,105
Built-up  Area,Ready To Move,"Kawlar, Dakshin Khan, Dhaka",3 Bedroom,N/A,800,2,1,52
